Pozo,Fecha,Salinidad
SITIO_GDE_6D,03/12/1996,134000
SITIO_GDE_6D,05/12/1996,132000
SITIO_GDE_6D,09/12/1996,128000
SITIO_GDE_6D,16/12/1996,135000
SITIO_GDE_6D,20/12/1996,122000
SITIO_GDE_6D,27/12/1996,138000
SITIO_GDE_6D,03/01/1997,133000
SITIO_GDE_6D,06/01/1997,135000
SITIO_GDE_6D,13/01/1997,132000
SITIO_GDE_6D,21/01/1997,141000
SITIO_GDE_6D,29/01/1997,142000
SITIO_GDE_6D,05/02/1997,127000
SITIO_GDE_6D,10/02/1997,105000
SITIO_GDE_6D,21/02/1997,131000
SITIO_GDE_6D,27/02/1997,134000
SITIO_GDE_6D,06/03/1997,131000
SITIO_GDE_6D,10/03/1997,126000
SITIO_GDE_6D,17/03/1997,146000
SITIO_GDE_6D,24/03/1997,13700
SITIO_GDE_6D,31/03/1997,127000
SITIO_GDE_6D,08/04/1997,144000
SITIO_GDE_6D,15/04/1997,136000
SITIO_GDE_6D,23/04/1997,125000
SITIO_GDE_6D,29/04/1997,128000
SITIO_GDE_6D,09/05/1997,149000
SITIO_GDE_6D,15/05/1997,129000
SITIO_GDE_6D,21/05/1997,149000
SITIO_GDE_6D,28/05/1997,131000
SITIO_GDE_6D,02/06/1997,42000
SITIO_GDE_6D,09/06/1997,130000
SITIO_GDE_6D,20/06/1997,138000
SITIO_GDE_6D,23/06/1997,128000
SITIO_GDE_6D,03/07/1997,142000
SITIO_GDE_6D,08/07/1997,133000
SITIO_GDE_6D,21/07/1997,148000
SITIO_GDE_6D,29/07/1997,72000
SITIO_GDE_6D,04/08/1997,127000
SITIO_GDE_6D,10/08/1997,124000
SITIO_GDE_6D,11/08/1997,130000
SITIO_GDE_6D,18/08/1997,131000
SITIO_GDE_6D,25/08/1997,120000
SITIO_GDE_6D,26/08/1997,140000
SITIO_GDE_6D,02/09/1997,140000
SITIO_GDE_6D,18/09/1997,130000
SITIO_GDE_6D,24/09/1997,140000
SITIO_GDE_6D,30/09/1997,130000
SITIO_GDE_6D,06/10/1997,130000
SITIO_GDE_6D,13/10/1997,170000
SITIO_GDE_6D,21/10/1997,140000
SITIO_GDE_6D,27/10/1997,119000
SITIO_GDE_6D,05/11/1997,135000
SITIO_GDE_6D,18/11/1997,128000
SITIO_GDE_6D,25/11/1997,117000
SITIO_GDE_6D,04/12/1997,126000
SITIO_GDE_6D,09/12/1997,135000
SITIO_GDE_6D,17/12/1997,137000
SITIO_GDE_6D,23/12/1997,141000
SITIO_GDE_6D,02/01/1998,150000
SITIO_GDE_6D,09/01/1998,133000
SITIO_GDE_6D,23/01/1998,131000
SITIO_GDE_6D,28/01/1998,136000
SITIO_GDE_6D,03/02/1998,128000
SITIO_GDE_6D,10/02/1998,135000
SITIO_GDE_6D,24/02/1998,158000
SITIO_GDE_6D,04/03/1998,140000
SITIO_GDE_6D,11/03/1998,145000
SITIO_GDE_6D,19/03/1998,132000
SITIO_GDE_6D,30/03/1998,142000
SITIO_GDE_6D,06/04/1998,138000
SITIO_GDE_6D,14/04/1998,140000
SITIO_GDE_6D,29/04/1998,134000
SITIO_GDE_6D,04/05/1998,134000
SITIO_GDE_6D,22/07/1998,132000
SITIO_GDE_6D,11/08/1998,129000
SITIO_GDE_6D,17/08/1998,137000
SITIO_GDE_6D,26/08/1998,130000
SITIO_GDE_6D,31/08/1998,132000
SITIO_GDE_6D,07/09/1998,137000
SITIO_GDE_6D,17/09/1998,137000
SITIO_GDE_6D,21/09/1998,130000
SITIO_GDE_6D,28/09/1998,133000
SITIO_GDE_6D,05/10/1998,127000
SITIO_GDE_6D,22/10/1998,127000
SITIO_GDE_6D,09/02/1999,129000
SITIO_GDE_6D,11/02/1999,132000
SITIO_GDE_6D,22/02/1999,138000
SITIO_GDE_6D,12/03/1999,139000
SITIO_GDE_6D,23/03/1999,115000
SITIO_GDE_6D,30/03/1999,131000
SITIO_GDE_6D,06/04/1999,140000
SITIO_GDE_6D,14/04/1999,135000
SITIO_GDE_6D,19/04/1999,
SITIO_GDE_6D,28/04/1999,127000
SITIO_GDE_6D,12/05/1999,127000
SITIO_GDE_6D,11/06/1999,128000
SITIO_GDE_6D,22/06/1999,136000
SITIO_GDE_6D,30/06/1999,135000
SITIO_GDE_6D,06/07/1999,142000
SITIO_GDE_6D,12/07/1999,140000
SITIO_GDE_6D,21/07/1999,126000
SITIO_GDE_6D,13/08/1999,156000
SITIO_GDE_6D,18/08/1999,37000
SITIO_GDE_6D,24/08/1999,132000
SITIO_GDE_6D,31/08/1999,130000
SITIO_GDE_6D,07/09/1999,135000
SITIO_GDE_6D,22/09/1999,140000
SITIO_GDE_6D,30/09/1999,128000
SITIO_GDE_6D,05/10/1999,127000
SITIO_GDE_6D,19/10/1999,137000
SITIO_GDE_6D,27/10/1999,124000
SITIO_GDE_6D,04/11/1999,141000
SITIO_GDE_6D,11/11/1999,136000
SITIO_GDE_6D,24/11/1999,135000
SITIO_GDE_6D,29/11/1999,147000
SITIO_GDE_6D,23/12/1999,138000
SITIO_GDE_6D,28/12/1999,138000
SITIO_GDE_6D,03/01/2000,134000
SITIO_GDE_6D,05/01/2000,134000
SITIO_GDE_6D,17/01/2000,35000
SITIO_GDE_6D,26/01/2000,
SITIO_GDE_6D,01/02/2000,132000
SITIO_GDE_6D,07/02/2000,120000
SITIO_GDE_6D,14/02/2000,110000
SITIO_GDE_6D,24/02/2000,135000
SITIO_GDE_6D,28/02/2000,117000
SITIO_GDE_6D,08/03/2000,137000
SITIO_GDE_6D,20/03/2000,135000
SITIO_GDE_6D,29/03/2000,156000
SITIO_GDE_6D,03/04/2000,127000
SITIO_GDE_6D,13/04/2000,128000
SITIO_GDE_6D,26/04/2000,130000
SITIO_GDE_6D,08/05/2000,125000
SITIO_GDE_6D,17/05/2000,134000
SITIO_GDE_6D,25/05/2000,128000
SITIO_GDE_6D,01/06/2000,130000
SITIO_GDE_6D,09/06/2000,122000
SITIO_GDE_6D,13/06/2000,130000
SITIO_GDE_6D,21/06/2000,146000
SITIO_GDE_6D,29/06/2000,128000
SITIO_GDE_6D,06/07/2000,127000
SITIO_GDE_6D,11/07/2000,170000
SITIO_GDE_6D,27/07/2000,130000
SITIO_GDE_6D,03/08/2000,140000
SITIO_GDE_6D,09/08/2000,131000
